LOAD_ZONE,TIMEPOINT,zone_demand_mw
AZ_APS_E,351116,310.588
AZ_APS_E,351120,267.206
AZ_APS_E,351124,365.203
AZ_APS_E,351128,384.192
AZ_APS_E,351132,345.337
AZ_APS_E,351136,393.488
AZ_APS_E,351140,311.93
AZ_APS_E,351144,261.6
AZ_APS_E,351148,353.233
AZ_APS_E,351152,383.307
AZ_APS_E,351156,354.111
AZ_APS_E,351160,381.055
AZ_APS_E,351164,307.984
AZ_APS_E,351168,264.935
AZ_APS_E,351172,371.104
AZ_APS_E,351176,374.904
AZ_APS_E,351180,342.046
AZ_APS_E,351184,385.679
AZ_APS_E,351188,309.849
AZ_APS_E,351192,272.032
AZ_APS_E,351196,363.794
AZ_APS_E,351200,351.772
AZ_APS_E,351204,316.124
AZ_APS_E,351208,358.27
AZ_APS_E,351212,302.41
AZ_APS_E,351216,270.509
AZ_APS_E,351220,355.346
AZ_APS_E,351224,351.285
AZ_APS_E,351228,324.323
AZ_APS_E,351232,366.444
AZ_APS_E,351236,305.135
AZ_APS_E,351240,274.224
AZ_APS_E,351244,364.442
AZ_APS_E,351248,367.322
AZ_APS_E,351252,357.083
AZ_APS_E,351256,389.753
AZ_APS_E,351260,311.823
AZ_APS_E,351264,275.403
AZ_APS_E,351268,370.275
AZ_APS_E,351272,371.04
AZ_APS_E,351276,353.545
AZ_APS_E,351280,387.864
AZ_APS_E,351284,314.686
AZ_APS_E,351288,272.695
AZ_APS_E,351292,356.174
AZ_APS_E,351296,373.995
AZ_APS_E,351300,331.639
AZ_APS_E,351304,380.614
AZ_APS_E,351308,314.384
AZ_APS_E,351312,267.7
AZ_APS_E,351316,350.141
AZ_APS_E,351320,365.515
AZ_APS_E,351324,315.283
AZ_APS_E,351328,353.512
AZ_APS_E,351332,304.212
AZ_APS_E,351336,262.617
AZ_APS_E,351340,356.654
AZ_APS_E,351344,350.806
AZ_APS_E,351348,317.013
AZ_APS_E,351352,379.959
AZ_APS_E,351356,313.955
AZ_APS_E,351360,273.799
AZ_APS_E,351364,359.465
AZ_APS_E,351368,344.174
AZ_APS_E,351372,313.733
AZ_APS_E,351376,361.206
AZ_APS_E,351380,304.265
AZ_APS_E,351384,272.671
AZ_APS_E,351388,360.881
AZ_APS_E,351392,355.587
AZ_APS_E,351396,312.319
AZ_APS_E,351400,371.338
AZ_APS_E,351404,309.173
AZ_APS_E,351408,276.108
AZ_APS_E,351412,365.307
AZ_APS_E,351416,356.867
AZ_APS_E,351420,319.897
AZ_APS_E,351424,365.494
AZ_APS_E,351428,304.079
AZ_APS_E,351432,274.068
AZ_APS_E,351436,360.611
AZ_APS_E,351440,349.372
AZ_APS_E,351444,316.353
AZ_APS_E,351448,353.185
AZ_APS_E,351452,305.142
AZ_APS_E,351456,270.982
AZ_APS_E,351460,345.899
AZ_APS_E,351464,348.374
AZ_APS_E,351468,302.33
AZ_APS_E,351472,334.35
AZ_APS_E,351476,292.026
AZ_APS_E,351480,255.109
AZ_APS_E,351484,331.895
AZ_APS_E,351488,336.651
AZ_APS_E,351492,277.954
AZ_APS_E,351496,300.349
AZ_APS_E,351500,290.972
AZ_APS_E,351504,249.106
AZ_APS_E,351508,338.573
AZ_APS_E,351512,337.157
AZ_APS_E,351516,296.381
AZ_APS_E,351520,346.108
AZ_APS_E,351524,300.174
AZ_APS_E,351528,268.444
AZ_APS_E,351532,356.134
AZ_APS_E,351536,344.566
AZ_APS_E,351540,298.223
AZ_APS_E,351544,349.068
AZ_APS_E,351548,301.981
AZ_APS_E,351552,275.027
AZ_APS_E,351556,357.759
AZ_APS_E,351560,341.393
AZ_APS_E,351564,294.835
AZ_APS_E,351568,344.593
AZ_APS_E,351572,305.224
AZ_APS_E,351576,282.728
AZ_APS_E,351580,357.631
AZ_APS_E,351584,341.704
AZ_APS_E,351588,300.046
AZ_APS_E,351592,339.13
AZ_APS_E,351596,305.082
AZ_APS_E,351600,278.896
AZ_APS_E,351604,359.88
AZ_APS_E,351608,340.694
AZ_APS_E,351612,290.091
AZ_APS_E,351616,335.711
AZ_APS_E,351620,304.071
AZ_APS_E,351624,270.29
AZ_APS_E,351628,341.235
AZ_APS_E,351632,345.593
AZ_APS_E,351636,307.592
AZ_APS_E,351640,316.509
AZ_APS_E,351644,291.073
AZ_APS_E,351648,251.721
AZ_APS_E,351652,335.433
AZ_APS_E,351656,344.464
AZ_APS_E,351660,304.772
AZ_APS_E,351664,305.841
AZ_APS_E,351668,281.68
AZ_APS_E,351672,252.493
AZ_APS_E,351676,345.487
AZ_APS_E,351680,342.594
AZ_APS_E,351684,295.073
AZ_APS_E,351688,340.979
AZ_APS_E,351692,307.175
AZ_APS_E,351696,279.771
AZ_APS_E,351700,361.175
AZ_APS_E,351704,345.923
AZ_APS_E,351708,300.56
AZ_APS_E,351712,337.831
AZ_APS_E,351716,302.453
AZ_APS_E,351720,274.328
AZ_APS_E,351724,354.482
AZ_APS_E,351728,348.681
AZ_APS_E,351732,304.008
AZ_APS_E,351736,336.717
AZ_APS_E,351740,302.775
AZ_APS_E,351744,275.144
AZ_APS_E,351748,359.662
AZ_APS_E,351752,348.778
AZ_APS_E,351756,302.444
AZ_APS_E,351760,344.939
AZ_APS_E,351764,305.655
AZ_APS_E,351768,273.088
AZ_APS_E,351772,365.218
AZ_APS_E,351776,358.454
AZ_APS_E,351780,314.112
AZ_APS_E,351784,347.96
AZ_APS_E,351788,318.763
AZ_APS_E,351792,283.233
AZ_APS_E,351796,360.3
AZ_APS_E,351800,379.658
AZ_APS_E,351804,324.729
