timepoint_id,timestamp,timeseries
352560,2050032200,2050_2050-year-round
352564,2050032204,2050_2050-year-round
352568,2050032208,2050_2050-year-round
352572,2050032212,2050_2050-year-round
352576,2050032216,2050_2050-year-round
352580,2050032220,2050_2050-year-round
352584,2050032300,2050_2050-year-round
352588,2050032304,2050_2050-year-round
352592,2050032308,2050_2050-year-round
352596,2050032312,2050_2050-year-round
352600,2050032316,2050_2050-year-round
352604,2050032320,2050_2050-year-round
352608,2050032400,2050_2050-year-round
352612,2050032404,2050_2050-year-round
352616,2050032408,2050_2050-year-round
352620,2050032412,2050_2050-year-round
352624,2050032416,2050_2050-year-round
352628,2050032420,2050_2050-year-round
352632,2050032500,2050_2050-year-round
352636,2050032504,2050_2050-year-round
352640,2050032508,2050_2050-year-round
352644,2050032512,2050_2050-year-round
352648,2050032516,2050_2050-year-round
352652,2050032520,2050_2050-year-round
352656,2050032600,2050_2050-year-round
352660,2050032604,2050_2050-year-round
352664,2050032608,2050_2050-year-round
352668,2050032612,2050_2050-year-round
352672,2050032616,2050_2050-year-round
352676,2050032620,2050_2050-year-round
352680,2050032700,2050_2050-year-round
352684,2050032704,2050_2050-year-round
352688,2050032708,2050_2050-year-round
352692,2050032712,2050_2050-year-round
352696,2050032716,2050_2050-year-round
352700,2050032720,2050_2050-year-round
352704,2050032800,2050_2050-year-round
352708,2050032804,2050_2050-year-round
352712,2050032808,2050_2050-year-round
352716,2050032812,2050_2050-year-round
352720,2050032816,2050_2050-year-round
352724,2050032820,2050_2050-year-round
352728,2050032900,2050_2050-year-round
352732,2050032904,2050_2050-year-round
352736,2050032908,2050_2050-year-round
352740,2050032912,2050_2050-year-round
352744,2050032916,2050_2050-year-round
352748,2050032920,2050_2050-year-round
352752,2050033000,2050_2050-year-round
352756,2050033004,2050_2050-year-round
352760,2050033008,2050_2050-year-round
352764,2050033012,2050_2050-year-round
352768,2050033016,2050_2050-year-round
352772,2050033020,2050_2050-year-round
352776,2050033100,2050_2050-year-round
352780,2050033104,2050_2050-year-round
352784,2050033108,2050_2050-year-round
352788,2050033112,2050_2050-year-round
352792,2050033116,2050_2050-year-round
352796,2050033120,2050_2050-year-round
352800,2050040100,2050_2050-year-round
352804,2050040104,2050_2050-year-round
352808,2050040108,2050_2050-year-round
352812,2050040112,2050_2050-year-round
352816,2050040116,2050_2050-year-round
