GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
77517,2050,1042433.4572,33692.0,.
77518,2050,1042433.4572,33692.0,.
77519,2050,1042433.4572,33692.0,.
77520,2050,1042433.4572,33692.0,.
77521,2050,1042433.4572,33692.0,.
154336,1980,0.0,0.0,.
154337,1980,0.0,0.0,.
154338,1982,0.0,0.0,.
154339,1984,0.0,0.0,.
154340,1981,0.0,0.0,.
154341,1981,0.0,0.0,.
154342,1987,0.0,0.0,.
154343,1962,0.0,0.0,.
154343,1980,0.0,0.0,.
154343,1981,0.0,0.0,.
154344,1972,0.0,0.0,.
154345,1972,0.0,0.0,.
154345,1973,0.0,0.0,.
154346,1976,0.0,0.0,.
154346,2001,0.0,0.0,.
154346,2003,0.0,0.0,.
154347,1972,0.0,0.0,.
154347,1973,0.0,0.0,.
154348,1972,0.0,0.0,.
154348,1973,0.0,0.0,.
154348,2002,0.0,0.0,.
154349,1974,0.0,0.0,.
154349,1978,0.0,0.0,.
154350,1971,0.0,0.0,.
154350,1973,0.0,0.0,.
154350,2008,0.0,0.0,.
154351,1959,0.0,0.0,.
154352,2001,0.0,0.0,.
154353,1972,0.0,0.0,.
154354,1962,0.0,0.0,.
154354,1967,0.0,0.0,.
154355,1974,0.0,0.0,.
154355,1975,0.0,0.0,.
154356,2001,0.0,0.0,.
154357,1957,0.0,0.0,.
154357,1958,0.0,0.0,.
154357,1961,0.0,0.0,.
154358,1927,0.0,0.0,.
154359,1972,0.0,0.0,.
154360,2002,0.0,0.0,.
154361,1971,0.0,0.0,.
154361,1973,0.0,0.0,.
154362,1926,0.0,0.0,.
154363,1971,0.0,0.0,.
154364,1973,0.0,0.0,.
154365,1930,0.0,0.0,.
154366,1980,0.0,0.0,.
154367,1981,0.0,0.0,.
154368,1951,0.0,0.0,.
154369,1964,0.0,0.0,.
154369,1965,0.0,0.0,.
154369,1966,0.0,0.0,.
154370,1936,0.0,0.0,.
154370,1937,0.0,0.0,.
154370,1938,0.0,0.0,.
154370,1944,0.0,0.0,.
154370,1961,0.0,0.0,.
154371,1981,0.0,0.0,.
154372,1963,0.0,0.0,.
