GENERATION_PROJECT,build_year,gen_predetermined_cap,gen_predetermined_storage_energy_mwh
154642,1994,25.0,.
154643,1920,6.8,.
154644,1935,8.4,.
154644,1995,44.3,.
154645,1937,18.0,.
154646,1948,8.3,.
154647,1917,2.7,.
154647,1925,4.0,.
154648,1923,33.0,.
154649,1915,10.0,.
154649,1916,10.0,.
154649,1920,10.0,.
154650,1924,14.5,.
154651,1952,132.6,.
154651,1953,132.6,.
154652,1906,6.6000000000000005,.
154652,1907,2.2,.
154652,1908,2.2,.
154652,1980,3.5,.
154653,1985,1.0,.
154654,1974,259.0,.
154654,1975,206.0,.
154655,1982,8.0,.
154656,1940,3.0,.
154657,1982,8.0,.
154658,1984,1.5,.
154659,1957,132.3,.
154659,1958,44.1,.
154660,1955,42.0,.
154661,1986,19.6,.
154662,1985,9.4,.
154663,1984,2.8,.
154664,1984,1.7,.
154665,1989,1.2,.
154666,1927,24.0,.
154667,1958,60.4,.
154668,1911,11.2,.
154668,1915,3.0,.
154669,1918,38.4,.
154670,1938,70.6,.
154670,1949,50.4,.
154670,1954,86.6,.
154671,1930,63.0,.
154672,1925,12.0,.
154673,2013,59.0,.
154674,1915,35.59999999999999,.
154674,1916,17.2,.
154675,1915,71.1,.
154675,1916,13.0,.
154675,1917,14.0,.
154676,1979,2.0,.
154677,1959,341.7000000000001,.
154677,1960,113.8,.
154677,1977,114.0,.
154678,1952,214.0,.
154678,1953,214.0,.
154679,1966,268.8,.
154680,1993,289.4,.
154680,1994,289.4,.
154681,1973,72.4,.
154681,2008,724.4,.
154683,1968,115.0,.
154682,1968,115.0,.
154683,1971,115.0,.
154682,1971,115.0,.
154684,1996,119.9,.
154684,2008,623.2,.
154685,1994,170.0,.
154686,1974,119.8,.
154687,1969,818.1,.
154687,1970,818.1,.
154688,2013,131.8,.
154690,1957,50.0,.
154689,1957,50.0,.
154691,1957,50.0,.
154690,1958,50.0,.
154689,1958,50.0,.
154691,1958,50.0,.
154690,1972,166.5,.
154689,1972,166.5,.
154691,1972,166.5,.
154692,1960,88.0,.
154692,1962,66.0,.
154693,1976,369.0,.
154693,1982,555.0,.
154694,1994,18.6,.
154695,1967,391.5,.
