hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
155346,2050_M6,3.477427453703704,6.954854907407408
155346,2050_M5,3.136044489247311,6.272088978494622
155346,2050_M12,1.5844200716845878,3.1688401433691755
155346,2050_M11,1.4037417592592594,2.8074835185185187
155346,2050_M10,1.4314376792114696,2.862875358422939
155346,2050_M9,2.0154603703703704,4.030920740740741
155348,2050_M11,1.3923362037037035,2.784672407407407
155348,2050_M1,1.646673342293907,3.293346684587814
155348,2050_M2,1.6096372485632182,3.2192744971264364
155348,2050_M3,1.9284373207885304,3.8568746415770607
155348,2050_M4,2.1377568055555556,4.275513611111111
155348,2050_M5,2.6045686827956986,5.209137365591397
155348,2050_M6,2.544832037037038,5.089664074074076
155348,2050_M7,2.75147688172043,5.50295376344086
155348,2050_M8,2.3440770161290327,4.6881540322580655
155348,2050_M9,1.812728425925926,3.625456851851852
155348,2050_M10,1.4261073924731182,2.8522147849462365
155348,2050_M12,1.3193983870967743,2.6387967741935485
155349,2050_M4,53.382407407407406,106.76481481481481
155349,2050_M3,42.21482974910394,84.42965949820788
155349,2050_M2,24.078771551724135,48.15754310344827
155349,2050_M1,23.42643369175627,46.85286738351254
155349,2050_M6,33.06856481481482,66.13712962962964
155349,2050_M7,21.428942652329752,42.857885304659504
155349,2050_M8,16.385797491039423,32.771594982078845
155349,2050_M9,13.85814814814815,27.7162962962963
155349,2050_M10,12.869713261648746,25.739426523297492
155349,2050_M11,12.256111111111109,24.512222222222217
155349,2050_M12,20.089605734767026,40.17921146953405
155349,2050_M5,45.99117383512546,91.98234767025092
155350,2050_M10,0.7625445340501792,1.5250890681003584
155350,2050_M2,1.0901303485905856,2.180260697181171
155350,2050_M1,1.063080465949821,2.126160931899642
155350,2050_M12,0.84085291218638,1.68170582437276
155350,2050_M11,0.7458719907407406,1.4917439814814812
155350,2050_M3,1.2591132616487453,2.5182265232974905
155350,2050_M4,1.6667106481481482,3.3334212962962964
155350,2050_M5,1.6621634856630825,3.324326971326165
155350,2050_M6,1.855681990740741,3.711363981481482
155350,2050_M7,1.8778191308243726,3.755638261648745
155350,2050_M8,1.5223456541218638,3.0446913082437277
155350,2050_M9,1.0779388425925929,2.1558776851851857
155361,2050_M8,0.558082840501792,1.116165681003584
155361,2050_M9,0.4195437037037037,0.8390874074074074
155361,2050_M10,0.30275246415770607,0.6055049283154121
155361,2050_M11,0.2843902314814815,0.568780462962963
155361,2050_M12,0.32838315412186375,0.6567663082437275
155361,2050_M5,0.626816711469534,1.253633422939068
155361,2050_M6,0.6540597685185185,1.308119537037037
155361,2050_M7,0.6507719086021505,1.301543817204301
155361,2050_M3,0.40465497311827947,0.8093099462365589
155361,2050_M2,0.3285146312260536,0.6570292624521072
155361,2050_M4,0.5259620370370371,1.0519240740740743
155361,2050_M1,0.31455882616487457,0.6291176523297491
155365,2050_M10,1.7023923835125452,3.4047847670250904
155365,2050_M12,1.8681109767025086,3.736221953405017
155365,2050_M1,2.342738216845878,4.685476433691756
155365,2050_M2,2.4024030548713737,4.8048061097427475
155365,2050_M3,2.799379525089606,5.598759050179212
155365,2050_M4,3.653836990740741,7.307673981481482
155365,2050_M5,3.623617786738351,7.247235573476702
155365,2050_M6,4.062382638888889,8.124765277777778
155365,2050_M7,4.100296326164875,8.20059265232975
155365,2050_M8,3.3359050627240143,6.671810125448029
155365,2050_M9,2.378128888888889,4.756257777777778
155365,2050_M11,1.6753710185185187,3.3507420370370373
155366,2050_M5,0.23603906810035838,0.47207813620071676
155366,2050_M4,0.2360076851851852,0.4720153703703704
155366,2050_M1,0.14873431899641576,0.2974686379928315
155366,2050_M3,0.18329489247311828,0.36658978494623656
155366,2050_M2,0.15530338327859877,0.31060676655719754
155366,2050_M12,0.11977096774193546,0.23954193548387093
155366,2050_M11,0.10675541666666666,0.21351083333333332
155366,2050_M10,0.11050676523297491,0.22101353046594982
155366,2050_M9,0.15835208333333334,0.3167041666666667
155366,2050_M8,0.22277522401433691,0.44555044802867383
155366,2050_M7,0.27273691756272395,0.5454738351254479
155366,2050_M6,0.26547810185185183,0.5309562037037037
155367,2050_M4,0.5048788194444443,1.0097576388888887
155367,2050_M1,0.5324914074500768,1.0649828149001537
155367,2050_M3,0.5441767953149002,1.0883535906298003
155367,2050_M2,0.5110862398838847,1.0221724797677694
155367,2050_M5,0.5733350134408601,1.1466700268817203
155367,2050_M6,0.6450738095238095,1.290147619047619
155367,2050_M7,0.6064269393241168,1.2128538786482337
155367,2050_M8,0.4067728974654378,0.8135457949308756
155367,2050_M9,0.526280505952381,1.052561011904762
155367,2050_M10,0.3815006240399385,0.763001248079877
155367,2050_M11,0.15169082341269843,0.30338164682539687
155367,2050_M12,0.3390446428571428,0.6780892857142856
155368,2050_M2,0.5125358066502463,1.0250716133004927
155368,2050_M4,0.5144133796296296,1.0288267592592593
155368,2050_M9,0.5587594907407408,1.1175189814814817
155368,2050_M10,0.3976562275985663,0.7953124551971326
155368,2050_M11,0.15850680555555557,0.31701361111111115
155368,2050_M12,0.3573546146953405,0.714709229390681
155368,2050_M1,0.5364853942652329,1.0729707885304658
155368,2050_M5,0.5848195340501792,1.1696390681003583
155368,2050_M3,0.5433371415770608,1.0866742831541216
155368,2050_M6,0.6442547685185186,1.2885095370370372
155368,2050_M7,0.6480734318996415,1.296146863799283
155368,2050_M8,0.451866353046595,0.90373270609319
155374,2050_M4,5.4129569907407395,10.825913981481479
155374,2050_M11,4.661491157407408,9.322982314814816
155374,2050_M12,4.945671729390681,9.891343458781362
155374,2050_M1,5.314711738351254,10.629423476702508
155374,2050_M2,5.218619902846196,10.437239805692393
155374,2050_M3,5.480645116487454,10.961290232974909
155374,2050_M10,4.183081227598566,8.366162455197133
155374,2050_M5,4.8800414874551965,9.760082974910393
155374,2050_M6,4.6091972685185185,9.218394537037037
155374,2050_M7,4.109500179211469,8.219000358422939
155374,2050_M8,3.341568369175626,6.683136738351252
155374,2050_M9,3.310226481481481,6.620452962962962
155376,2050_M7,0.8211951164874551,1.6423902329749103
155376,2050_M8,0.5633430107526881,1.1266860215053762
155376,2050_M9,0.7128546296296299,1.4257092592592597
155376,2050_M10,0.5150369175627241,1.0300738351254481
155376,2050_M1,0.6983874103942652,1.3967748207885304
155376,2050_M11,0.20978106481481482,0.41956212962962963
155376,2050_M12,0.4581099462365591,0.9162198924731182
155376,2050_M2,0.6685786962917352,1.3371573925834703
155376,2050_M3,0.7067981630824374,1.4135963261648747
155376,2050_M4,0.6665055092592593,1.3330110185185187
155376,2050_M5,0.7569119175627239,1.5138238351254478
155376,2050_M6,0.8357224999999999,1.6714449999999998
155380,2050_M7,0.6128506144393242,1.2257012288786484
155380,2050_M5,0.5351429531490016,1.0702859062980032
155380,2050_M1,0.34562965629800313,0.6912593125960063
155380,2050_M12,0.27594978878648235,0.5518995775729647
155380,2050_M11,0.24744221230158733,0.49488442460317467
155380,2050_M2,0.35717783654410035,0.7143556730882007
155380,2050_M3,0.4119802707373271,0.8239605414746543
155380,2050_M4,0.5454590773809526,1.0909181547619051
155380,2050_M10,0.25140490591397857,0.5028098118279571
155380,2050_M9,0.3520082341269841,0.7040164682539682
155380,2050_M8,0.4963173483102918,0.9926346966205836
155380,2050_M6,0.6101623511904762,1.2203247023809525
155386,2050_M12,0.1610625,0.322125
155386,2050_M1,0.2005409946236559,0.4010819892473118
155386,2050_M2,0.20828265941434043,0.41656531882868086
155386,2050_M3,0.2421666218637993,0.4843332437275986
155386,2050_M4,0.31731601851851854,0.6346320370370371
155386,2050_M5,0.31176075268817205,0.6235215053763441
155386,2050_M6,0.34904037037037045,0.6980807407407409
155386,2050_M7,0.35600878136200725,0.7120175627240145
155386,2050_M8,0.28808136200716844,0.5761627240143369
155386,2050_M9,0.20506606481481485,0.4101321296296297
155386,2050_M10,0.14597683691756275,0.2919536738351255
155386,2050_M11,0.14356791666666666,0.2871358333333333
155388,2050_M5,0.6332760176651305,1.266552035330261
155388,2050_M12,0.46282848502304147,0.9256569700460829
155388,2050_M11,0.40942470238095247,0.8188494047619049
155388,2050_M10,0.3356199116743472,0.6712398233486944
155388,2050_M9,0.3234790178571429,0.6469580357142858
155388,2050_M8,0.44220991743471577,0.8844198348694315
155388,2050_M6,0.6611153273809525,1.322230654761905
155388,2050_M7,0.5600328821044548,1.1200657642089096
155388,2050_M2,0.48549111357905234,0.9709822271581047
155388,2050_M3,0.5113379416282642,1.0226758832565284
155388,2050_M4,0.5710232142857142,1.1420464285714285
155388,2050_M1,0.502224606374808,1.004449212749616
155397,2050_M2,0.31246288314176246,0.6249257662835249
155397,2050_M7,0.6052011200716847,1.2104022401433694
155397,2050_M8,0.5188145609318996,1.0376291218637992
155397,2050_M9,0.3894363425925926,0.7788726851851852
155397,2050_M10,0.27885909498207884,0.5577181899641577
155397,2050_M3,0.3832999103942652,0.7665998207885304
155397,2050_M4,0.4957333796296296,0.9914667592592592
155397,2050_M5,0.5930112455197133,1.1860224910394266
155397,2050_M6,0.607265138888889,1.214530277777778
155397,2050_M1,0.30159820788530467,0.6031964157706093
155397,2050_M12,0.28962759856630826,0.5792551971326165
155397,2050_M11,0.2596885648148149,0.5193771296296298
155503,2050_M7,0.8163376792114696,1.6326753584229392
155503,2050_M2,0.658326828475643,1.316653656951286
155503,2050_M3,0.7051840501792115,1.410368100358423
155503,2050_M4,0.6602676851851853,1.3205353703703706
155503,2050_M5,0.7469884408602151,1.4939768817204302
155503,2050_M6,0.8239960185185183,1.6479920370370367
155503,2050_M1,0.6926527777777778,1.3853055555555556
155503,2050_M8,0.5617440860215054,1.1234881720430108
155503,2050_M9,0.7199650462962962,1.4399300925925924
155503,2050_M10,0.5280941308243728,1.0561882616487457
155503,2050_M11,0.1992021296296296,0.3984042592592592
155503,2050_M12,0.4471891577060932,0.8943783154121864
155537,2050_M6,0.1436273148148148,0.2872546296296296
155537,2050_M7,0.14974829749103943,0.29949659498207887
155537,2050_M9,0.09640560185185186,0.19281120370370372
155537,2050_M8,0.13007952508960574,0.2601590501792115
155537,2050_M11,0.06244379629629629,0.12488759259259258
155537,2050_M10,0.07044193548387097,0.14088387096774194
155537,2050_M1,0.07702741935483873,0.15405483870967746
155537,2050_M2,0.07715238608374385,0.1543047721674877
155537,2050_M12,0.06863915770609319,0.13727831541218638
155537,2050_M3,0.09119551971326165,0.1823910394265233
155537,2050_M4,0.11748851851851852,0.23497703703703704
155537,2050_M5,0.13931075268817203,0.27862150537634406
155618,2050_M12,0.16625051695616214,0.3325010339123243
155618,2050_M7,0.35762231182795706,0.7152446236559141
155618,2050_M6,0.3510980235042735,0.702196047008547
155618,2050_M5,0.29733291976840365,0.5946658395368073
155618,2050_M4,0.3185489850427351,0.6370979700854702
155618,2050_M8,0.2866471774193548,0.5732943548387096
155618,2050_M9,0.20478338675213673,0.40956677350427345
155618,2050_M10,0.14773717948717946,0.2954743589743589
155618,2050_M11,0.145414155982906,0.290828311965812
155618,2050_M3,0.24293476013234078,0.48586952026468155
155618,2050_M2,0.20229833743842363,0.40459667487684725
155618,2050_M1,0.19561636683209263,0.39123273366418526
155619,2050_M5,3.958798490488007,7.125
155619,2050_M11,2.492068536324787,4.984137072649574
155619,2050_M12,2.8863970223325066,5.772794044665013
155619,2050_M9,2.0910748931623933,4.1821497863247865
155619,2050_M4,3.205942094017094,6.411884188034188
155619,2050_M8,2.568309811827957,5.136619623655914
155619,2050_M7,3.512868434656741,7.025736869313482
155619,2050_M6,4.289513995726496,7.125
155619,2050_M3,2.433097446236559,4.866194892473118
155619,2050_M2,2.3968220482821776,4.793644096564355
155619,2050_M1,2.3375584160463196,4.675116832092639
155619,2050_M10,1.9391077336641855,3.878215467328371
155637,2050_M12,0.5798333333333333,1.1596666666666666
155637,2050_M1,0.5940911738351254,1.1881823476702509
155637,2050_M2,0.594000709838533,1.188001419677066
155637,2050_M3,0.7473783602150538,1.4947567204301075
155637,2050_M4,1.0072287037037038,2.0144574074074075
155637,2050_M5,1.2426570900537635,2.485314180107527
155637,2050_M6,1.2381414930555557,2.4762829861111113
155637,2050_M7,1.2975153449820789,2.5950306899641578
155637,2050_M8,1.1288817204301076,2.257763440860215
155637,2050_M9,0.829531539351852,1.659063078703704
155637,2050_M10,0.6021673387096775,1.204334677419355
155637,2050_M11,0.5222553240740742,1.0445106481481483
155645,2050_M10,0.6245392585125448,1.2490785170250895
155645,2050_M1,0.9638570228494624,1.9277140456989248
155645,2050_M2,0.9039468754276135,1.807893750855227
155645,2050_M3,0.9516305443548387,1.9032610887096775
155645,2050_M4,1.0361835069444445,2.072367013888889
155645,2050_M5,1.1636211917562727,2.3272423835125453
155645,2050_M6,1.2220895833333334,2.444179166666667
155645,2050_M7,1.0147376232078855,2.029475246415771
155645,2050_M8,0.7949941196236558,1.5899882392473117
155645,2050_M9,0.5885048611111111,1.1770097222222222
155645,2050_M11,0.7609113425925926,1.5218226851851853
155645,2050_M12,0.8707660730286739,1.7415321460573479
155646,2050_M10,14.767989527329751,29.535979054659503
155646,2050_M11,18.026662962962963,36.053325925925925
155646,2050_M12,20.567756328405018,41.135512656810036
155646,2050_M1,22.67625560035842,45.35251120071684
155646,2050_M2,21.307527373682948,42.615054747365896
155646,2050_M3,22.45774036738351,44.91548073476702
155646,2050_M4,24.381456365740743,48.762912731481485
155646,2050_M5,27.46798661514337,54.93597323028674
155646,2050_M6,28.899227256944442,57.798454513888885
155646,2050_M7,23.861296650985665,47.72259330197133
155646,2050_M8,18.648513048835124,37.29702609767025
155646,2050_M9,13.849055902777778,27.698111805555556
155647,2050_M12,0.3895182571684587,0.7790365143369175
155647,2050_M11,0.34084461805555555,0.6816892361111111
155647,2050_M9,0.2641155092592592,0.5282310185185184
