regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
CA_SCE_VLY-Bio_Solid,2050,7,10.647734999999999,11574675
CA_SCE_VLY-Bio_Solid,2050,8,237456.1759605,11574690
CA_SCE_VLY-Bio_Solid,2050,9,1899591.8904742498,11574692
CA_SDGE-Bio_Solid,2050,1,2.0592705,9350371
CA_SDGE-Bio_Solid,2050,2,6.18735075,10201742
CA_SDGE-Bio_Solid,2050,3,12.606783,11244896
CA_SMUD-Bio_Solid,2050,1,1.21824675,39716
CA_SMUD-Bio_Solid,2050,2,1.640268,142744
CA_SMUD-Bio_Solid,2050,3,1.6878434999999998,324802
CA_SMUD-Bio_Solid,2050,4,1.95965175,1941479
CA_SMUD-Bio_Solid,2050,5,2.61242625,3202008
CA_SMUD-Bio_Solid,2050,6,3.3121725,3944234
CA_SMUD-Bio_Solid,2050,7,5.5811857499999995,3993887
CA_SMUD-Bio_Solid,2050,8,7.36635375,4029880
CA_SMUD-Bio_Solid,2050,9,9.3511215,4610889
CA_SMUD-Bio_Solid,2050,10,233.8055685,4617093
CA_SMUD-Bio_Solid,2050,11,1143.7297515,4618331
CO_DEN-Bio_Solid,2050,1,1.61322,416964
CO_DEN-Bio_Solid,2050,2,1.9282567499999999,20649583
CO_DEN-Bio_Solid,2050,3,2.7696427499999996,30255548
CO_DEN-Bio_Solid,2050,4,25.871291249999995,31171247
CO_DEN-Bio_Solid,2050,5,37.25753325,31883682
CO_DEN-Bio_Solid,2050,6,81422.93708850001,31883693
CO_DEN-Bio_Solid,2050,7,202400.60590049997,31884048
CO_E-Bio_Solid,2050,1,0.9693809999999999,32897
CO_E-Bio_Solid,2050,2,1.92318525,28433722
CO_E-Bio_Solid,2050,3,5.0484367500000005,31152761
CO_E-Bio_Solid,2050,4,6.7583775,36735099
CO_E-Bio_Solid,2050,5,11.50783725,40326263
CO_E-Bio_Solid,2050,6,122.88425625,40678944
CO_E-Bio_Solid,2050,7,465.28512974999995,40694104
CO_E-Bio_Solid,2050,8,595.86007425,40753309
CO_E-Bio_Solid,2050,9,1499.09953725,40777516
CO_E-Bio_Solid,2050,10,1566.39278775,40794440
CO_E-Bio_Solid,2050,11,1777.7778585,40822154
CO_E-Bio_Solid,2050,12,2111.99151975,40844397
CO_E-Bio_Solid,2050,13,2588.82240225,40863129
CO_E-Bio_Solid,2050,14,3236.8372994999995,40929633
CO_NW-Bio_Solid,2050,1,1.866795,1890611
CO_NW-Bio_Solid,2050,2,3.96072075,12675304
CO_NW-Bio_Solid,2050,3,2045.846481,12697457
CO_NW-Bio_Solid,2050,4,2277.8031254999996,12715405
CO_NW-Bio_Solid,2050,5,3589.1554912499996,12732510
CO_SW-Bio_Solid,2050,1,1.8780247499999998,2798530
CO_SW-Bio_Solid,2050,2,4.15271325,12646857
CO_SW-Bio_Solid,2050,3,177.829008,12724554
CO_SW-Bio_Solid,2050,4,720.1941757499999,12753400
CO_SW-Bio_Solid,2050,5,754.5323362499998,12777783
CO_SW-Bio_Solid,2050,6,865.1335402499999,12794239
CO_SW-Bio_Solid,2050,7,1137.98410425,12813228
CO_SW-Bio_Solid,2050,8,1584.0593580000002,12858091
ID_E-Bio_Solid,2050,1,1.395387,45691
ID_E-Bio_Solid,2050,2,1.7878245,2473506
ID_E-Bio_Solid,2050,3,2.1689115,8884034
ID_E-Bio_Solid,2050,4,4.221057749999999,10668450
ID_E-Bio_Solid,2050,5,6.703919249999999,13388775
ID_E-Bio_Solid,2050,6,11.491656749999999,13986459
ID_E-Bio_Solid,2050,7,43.21775325,14135593
ID_E-Bio_Solid,2050,8,1118.1352192499999,14157123
ID_S_OR_E-Bio_Solid,2050,1,1.21824675,1850933
ID_S_OR_E-Bio_Solid,2050,2,1.63990575,9557911
ID_S_OR_E-Bio_Solid,2050,3,2.24921025,17755336
ID_S_OR_E-Bio_Solid,2050,4,2.4447045000000003,36107326
ID_S_OR_E-Bio_Solid,2050,5,4.91971725,39693221
ID_S_OR_E-Bio_Solid,2050,6,5.405373749999999,44107389
ID_S_OR_E-Bio_Solid,2050,7,6.651030749999999,52002254
ID_S_OR_E-Bio_Solid,2050,8,26.12486625,52078242
ID_S_OR_E-Bio_Solid,2050,9,31.34706225,53389223
ID_S_OR_E-Bio_Solid,2050,10,413.97072675,53614422
MEX_BAJA-Bio_Solid,2050,1,1.9170269999999998,721436
MEX_BAJA-Bio_Solid,2050,2,2.3881935000000003,1722484
MT_NE-Bio_Solid,2050,1,1.58194575,355068
MT_NE-Bio_Solid,2050,2,2.2600777499999998,1472954
MT_NE-Bio_Solid,2050,3,3.8455252499999997,7128476
MT_NE-Bio_Solid,2050,4,9.4172925,7136599
MT_NE-Bio_Solid,2050,5,10.387277249999999,9024351
MT_NE-Bio_Solid,2050,6,18.86682525,9497385
MT_NE-Bio_Solid,2050,7,28.58285325,10470801
MT_NE-Bio_Solid,2050,8,45.00267975,10717060
MT_NE-Bio_Solid,2050,9,50.2515615,10940005
MT_NE-Bio_Solid,2050,10,59.4034455,11127039
MT_NE-Bio_Solid,2050,11,65.156217,11299093
MT_NE-Bio_Solid,2050,12,70.80912825,11458851
MT_NE-Bio_Solid,2050,13,77.62075650000001,11605331
MT_NE-Bio_Solid,2050,14,103.51450725,11711273
MT_NW-Bio_Solid,2050,1,1.5705952499999998,13124380
MT_NW-Bio_Solid,2050,2,2.9304817499999998,23858645
MT_NW-Bio_Solid,2050,3,7.535283,32532136
MT_NW-Bio_Solid,2050,4,67.31196675,32543712
MT_NW-Bio_Solid,2050,5,117.84837749999998,32626338
MT_NW-Bio_Solid,2050,6,393.2008815,32647423
MT_NW-Bio_Solid,2050,7,418.655223,32725381
MT_NW-Bio_Solid,2050,8,444.36965999999995,33555457
MT_SE-Bio_Solid,2050,1,1.20327375,38223
MT_SE-Bio_Solid,2050,2,1.6719045000000001,151534
MT_SE-Bio_Solid,2050,3,1.985613,1624641
MT_SE-Bio_Solid,2050,4,2.7067319999999997,2450992
MT_SE-Bio_Solid,2050,5,4.937346749999999,3952992
MT_SE-Bio_Solid,2050,6,5.16327,4930276
MT_SE-Bio_Solid,2050,7,30.15369,5003810
MT_SE-Bio_Solid,2050,8,39.51749025,5130949
MT_SE-Bio_Solid,2050,9,108.669687,5183208
MT_SE-Bio_Solid,2050,10,9457.083005999999,5183380
MT_SW-Bio_Solid,2050,1,1.63386825,1288275
MT_SW-Bio_Solid,2050,2,2.9316892500000002,2699404
MT_SW-Bio_Solid,2050,3,4.27442925,8377568
MT_SW-Bio_Solid,2050,4,120.9883605,8456599
MT_SW-Bio_Solid,2050,5,636.89792775,8470205
MT_SW-Bio_Solid,2050,6,67117.64292975,8470309
MT_SW-Bio_Solid,2050,7,72125.108118,8471418
NM_N-Bio_Solid,2050,1,1.9009672499999999,8301200
NM_N-Bio_Solid,2050,2,3.0881812500000003,11465289
NM_N-Bio_Solid,2050,3,5.7295875,19339667
NM_N-Bio_Solid,2050,4,464.2154055,19340615
NM_N-Bio_Solid,2050,5,485.64973799999996,19340621
NM_N-Bio_Solid,2050,6,559.6412325,19340627
NM_N-Bio_Solid,2050,7,623.73810975,19405930
NM_N-Bio_Solid,2050,8,701.0583195,19422288
NM_N-Bio_Solid,2050,9,842.715699,19442312
NM_N-Bio_Solid,2050,10,909.0343762499999,19457586
NM_N-Bio_Solid,2050,11,1070.03131725,19484249
NM_N-Bio_Solid,2050,12,1292.917584,19585773
NM_S_TX_EPE-Bio_Solid,2050,1,1.8366074999999997,2529525
NM_S_TX_EPE-Bio_Solid,2050,2,2.53055775,7219824
NM_S_TX_EPE-Bio_Solid,2050,3,6.20172,11090059
NM_S_TX_EPE-Bio_Solid,2050,4,1546.6482307499998,11097865
NM_S_TX_EPE-Bio_Solid,2050,5,20713.98448875,11098428
NM_S_TX_EPE-Bio_Solid,2050,6,22074.5830515,11098856
NM_S_TX_EPE-Bio_Solid,2050,7,25361.536793249998,11099605
NM_S_TX_EPE-Bio_Solid,2050,8,29891.363643749995,11102456
NV_N-Bio_Solid,2050,1,1.21824675,5710
NV_N-Bio_Solid,2050,2,1.61165025,173523
NV_N-Bio_Solid,2050,3,1.71477075,1095632
NV_N-Bio_Solid,2050,4,2.2065854999999996,1934439
NV_N-Bio_Solid,2050,5,2.6379045000000003,3113187
NV_N-Bio_Solid,2050,6,4.1425702499999995,3127712
NV_N-Bio_Solid,2050,7,4.24400025,3147985
NV_N-Bio_Solid,2050,8,4.34349825,3151674
NV_N-Bio_Solid,2050,9,4.42512525,3405166
NV_N-Bio_Solid,2050,10,4.53549075,12724375
NV_N-Bio_Solid,2050,11,396.83098875,12749698
NV_N-Bio_Solid,2050,12,163386.868953,12749778
NV_S-Bio_Solid,2050,1,1.21824675,295
NV_S-Bio_Solid,2050,2,1.615635,137689
NV_S-Bio_Solid,2050,3,1.9377959999999999,2138166
NV_S-Bio_Solid,2050,4,2.4018382500000004,4913588
NV_S-Bio_Solid,2050,5,4.78230375,4917038
NV_S-Bio_Solid,2050,6,5.296577999999999,4917309
NV_S-Bio_Solid,2050,7,5.7658125,4917494
NV_S-Bio_Solid,2050,8,6.204980249999999,5005214
NV_S-Bio_Solid,2050,9,6.695587499999999,8107907
OR_E-Bio_Solid,2050,1,1.21824675,847561
OR_E-Bio_Solid,2050,2,1.637853,4251847
OR_E-Bio_Solid,2050,3,2.4678885,6064415
OR_E-Bio_Solid,2050,4,2.5078567499999997,12634523
OR_E-Bio_Solid,2050,5,3.8903234999999996,13744491
OR_E-Bio_Solid,2050,6,4.15029825,14580317
OR_E-Bio_Solid,2050,7,4.487553,26334211
OR_E-Bio_Solid,2050,8,65.08823475,26466321
OR_E-Bio_Solid,2050,9,197.12679,26522287
OR_PDX-Bio_Solid,2050,1,1.5109447500000002,5796120
OR_PDX-Bio_Solid,2050,2,2.3354257499999997,18875785
OR_PDX-Bio_Solid,2050,3,6.1638044999999995,21292882
OR_PDX-Bio_Solid,2050,4,6.7708147499999995,25891209
OR_PDX-Bio_Solid,2050,5,36.27245475,26056357
OR_PDX-Bio_Solid,2050,6,50.58809175,26071346
OR_PDX-Bio_Solid,2050,7,51.33372299999999,27480738
OR_PDX-Bio_Solid,2050,8,60.58160325,28088150
OR_PDX-Bio_Solid,2050,9,63.537080249999995,28674163
OR_PDX-Bio_Solid,2050,10,73.70688675000001,29155086
OR_PDX-Bio_Solid,2050,11,93.9408435,29502685
OR_PDX-Bio_Solid,2050,12,546.49844025,29548236
OR_W-Bio_Solid,2050,1,1.1997719999999998,6741856
OR_W-Bio_Solid,2050,2,1.7279324999999999,46482443
OR_W-Bio_Solid,2050,3,2.8016414999999997,85131596
OR_W-Bio_Solid,2050,4,4.67556075,100330758
OR_W-Bio_Solid,2050,5,5.33630475,137891931
OR_W-Bio_Solid,2050,6,49.911770999999995,138914619
OR_W-Bio_Solid,2050,7,52.99826175,138982789
OR_W-Bio_Solid,2050,8,60.00296924999999,142161253
OR_W-Bio_Solid,2050,9,79.68835875,143098640
OR_W-Bio_Solid,2050,10,88.53571124999999,143802072
OR_W-Bio_Solid,2050,11,99.37652550000001,144356590
OR_W-Bio_Solid,2050,12,111.3360885,144888763
OR_W-Bio_Solid,2050,13,125.105694,145328523
OR_W-Bio_Solid,2050,14,140.65841475000002,145684099
OR_W-Bio_Solid,2050,15,156.67083075,146104669
OR_W-Bio_Solid,2050,16,171.69840975,146776113
OR_W-Bio_Solid,2050,17,189.1787835,147433839
OR_W-Bio_Solid,2050,18,210.57701174999997,148014679
OR_W-Bio_Solid,2050,19,236.097645,148565543
OR_W-Bio_Solid,2050,20,267.16734449999996,151609794
OR_WA_BPA-Bio_Solid,2050,1,1.4062545000000002,6096825
OR_WA_BPA-Bio_Solid,2050,2,2.4601604999999998,13084932
OR_WA_BPA-Bio_Solid,2050,3,2.7811139999999996,23329361
OR_WA_BPA-Bio_Solid,2050,4,5.567541,26974355
OR_WA_BPA-Bio_Solid,2050,5,6.540786,31980746
OR_WA_BPA-Bio_Solid,2050,6,91.22058750000001,32094584
OR_WA_BPA-Bio_Solid,2050,7,133.406532,32222437
OR_WA_BPA-Bio_Solid,2050,8,176.13609300000002,32222576
OR_WA_BPA-Bio_Solid,2050,9,386.102472,32275170
OR_WA_BPA-Bio_Solid,2050,10,412.37598149999997,32360436
OR_WA_BPA-Bio_Solid,2050,11,442.55901375,32444783
OR_WA_BPA-Bio_Solid,2050,12,479.04700725,32520073
OR_WA_BPA-Bio_Solid,2050,13,522.34312725,32591459
OR_WA_BPA-Bio_Solid,2050,14,574.41511575,32987906
UT_N-Bio_Solid,2050,1,1.48196475,325305
UT_N-Bio_Solid,2050,2,2.09465025,7370276
UT_N-Bio_Solid,2050,3,5.19792525,12496776
UT_N-Bio_Solid,2050,4,58.472342250000004,12810728
UT_N-Bio_Solid,2050,5,826.51165275,12833649
UT_N-Bio_Solid,2050,6,974.34563625,12857761
UT_N-Bio_Solid,2050,7,1166.502477,12947609
UT_S-Bio_Solid,2050,1,1.6384567499999998,1475697
UT_S-Bio_Solid,2050,2,2.9628427499999996,2966657
UT_S-Bio_Solid,2050,3,3.54099375,19045420
UT_S-Bio_Solid,2050,4,23.965494,19340305
UT_S-Bio_Solid,2050,5,219.495003,19437217
