timepoint,timestamp,hours_per_year,timeseries,period
351372,2050013112,4.0137,2050_2050-year-round,2050
351376,2050013116,4.0137,2050_2050-year-round,2050
351380,2050013120,4.0137,2050_2050-year-round,2050
351384,2050020100,4.0137,2050_2050-year-round,2050
351388,2050020104,4.0137,2050_2050-year-round,2050
351392,2050020108,4.0137,2050_2050-year-round,2050
351396,2050020112,4.0137,2050_2050-year-round,2050
351400,2050020116,4.0137,2050_2050-year-round,2050
351404,2050020120,4.0137,2050_2050-year-round,2050
351408,2050020200,4.0137,2050_2050-year-round,2050
351412,2050020204,4.0137,2050_2050-year-round,2050
351416,2050020208,4.0137,2050_2050-year-round,2050
351420,2050020212,4.0137,2050_2050-year-round,2050
351424,2050020216,4.0137,2050_2050-year-round,2050
351428,2050020220,4.0137,2050_2050-year-round,2050
351432,2050020300,4.0137,2050_2050-year-round,2050
351436,2050020304,4.0137,2050_2050-year-round,2050
351440,2050020308,4.0137,2050_2050-year-round,2050
351444,2050020312,4.0137,2050_2050-year-round,2050
351448,2050020316,4.0137,2050_2050-year-round,2050
351452,2050020320,4.0137,2050_2050-year-round,2050
351456,2050020400,4.0137,2050_2050-year-round,2050
351460,2050020404,4.0137,2050_2050-year-round,2050
351464,2050020408,4.0137,2050_2050-year-round,2050
351468,2050020412,4.0137,2050_2050-year-round,2050
351472,2050020416,4.0137,2050_2050-year-round,2050
351476,2050020420,4.0137,2050_2050-year-round,2050
351480,2050020500,4.0137,2050_2050-year-round,2050
351484,2050020504,4.0137,2050_2050-year-round,2050
351488,2050020508,4.0137,2050_2050-year-round,2050
351492,2050020512,4.0137,2050_2050-year-round,2050
351496,2050020516,4.0137,2050_2050-year-round,2050
351500,2050020520,4.0137,2050_2050-year-round,2050
351504,2050020600,4.0137,2050_2050-year-round,2050
351508,2050020604,4.0137,2050_2050-year-round,2050
351512,2050020608,4.0137,2050_2050-year-round,2050
351516,2050020612,4.0137,2050_2050-year-round,2050
351520,2050020616,4.0137,2050_2050-year-round,2050
351524,2050020620,4.0137,2050_2050-year-round,2050
351528,2050020700,4.0137,2050_2050-year-round,2050
351532,2050020704,4.0137,2050_2050-year-round,2050
351536,2050020708,4.0137,2050_2050-year-round,2050
351540,2050020712,4.0137,2050_2050-year-round,2050
351544,2050020716,4.0137,2050_2050-year-round,2050
351548,2050020720,4.0137,2050_2050-year-round,2050
351552,2050020800,4.0137,2050_2050-year-round,2050
351556,2050020804,4.0137,2050_2050-year-round,2050
351560,2050020808,4.0137,2050_2050-year-round,2050
351564,2050020812,4.0137,2050_2050-year-round,2050
351568,2050020816,4.0137,2050_2050-year-round,2050
351572,2050020820,4.0137,2050_2050-year-round,2050
351576,2050020900,4.0137,2050_2050-year-round,2050
351580,2050020904,4.0137,2050_2050-year-round,2050
351584,2050020908,4.0137,2050_2050-year-round,2050
351588,2050020912,4.0137,2050_2050-year-round,2050
351592,2050020916,4.0137,2050_2050-year-round,2050
351596,2050020920,4.0137,2050_2050-year-round,2050
351600,2050021000,4.0137,2050_2050-year-round,2050
351604,2050021004,4.0137,2050_2050-year-round,2050
351608,2050021008,4.0137,2050_2050-year-round,2050
351612,2050021012,4.0137,2050_2050-year-round,2050
351616,2050021016,4.0137,2050_2050-year-round,2050
351620,2050021020,4.0137,2050_2050-year-round,2050
351624,2050021100,4.0137,2050_2050-year-round,2050
351628,2050021104,4.0137,2050_2050-year-round,2050
351632,2050021108,4.0137,2050_2050-year-round,2050
351636,2050021112,4.0137,2050_2050-year-round,2050
351640,2050021116,4.0137,2050_2050-year-round,2050
351644,2050021120,4.0137,2050_2050-year-round,2050
351648,2050021200,4.0137,2050_2050-year-round,2050
351652,2050021204,4.0137,2050_2050-year-round,2050
351656,2050021208,4.0137,2050_2050-year-round,2050
351660,2050021212,4.0137,2050_2050-year-round,2050
351664,2050021216,4.0137,2050_2050-year-round,2050
351668,2050021220,4.0137,2050_2050-year-round,2050
351672,2050021300,4.0137,2050_2050-year-round,2050
351676,2050021304,4.0137,2050_2050-year-round,2050
351680,2050021308,4.0137,2050_2050-year-round,2050
351684,2050021312,4.0137,2050_2050-year-round,2050
351688,2050021316,4.0137,2050_2050-year-round,2050
351692,2050021320,4.0137,2050_2050-year-round,2050
351696,2050021400,4.0137,2050_2050-year-round,2050
351700,2050021404,4.0137,2050_2050-year-round,2050
351704,2050021408,4.0137,2050_2050-year-round,2050
351708,2050021412,4.0137,2050_2050-year-round,2050
351712,2050021416,4.0137,2050_2050-year-round,2050
351716,2050021420,4.0137,2050_2050-year-round,2050
351720,2050021500,4.0137,2050_2050-year-round,2050
351724,2050021504,4.0137,2050_2050-year-round,2050
351728,2050021508,4.0137,2050_2050-year-round,2050
351732,2050021512,4.0137,2050_2050-year-round,2050
351736,2050021516,4.0137,2050_2050-year-round,2050
351740,2050021520,4.0137,2050_2050-year-round,2050
351744,2050021600,4.0137,2050_2050-year-round,2050
351748,2050021604,4.0137,2050_2050-year-round,2050
351752,2050021608,4.0137,2050_2050-year-round,2050
351756,2050021612,4.0137,2050_2050-year-round,2050
351760,2050021616,4.0137,2050_2050-year-round,2050
351764,2050021620,4.0137,2050_2050-year-round,2050
