gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableOMCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,DispatchEmissions_tNOx_per_typical_yr,DispatchEmissions_tSO2_per_typical_yr,DispatchEmissions_tCH4_per_typical_yr
Bio_Solid_Steam_Turbine_Cogen,UT_N,Bio_Solid,2050,0,5.5341e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,WA_ID_AVA,Bio_Solid,2050,0,9.6392e-05,0,0,0,0
Bio_Solid_Steam_Turbine_Cogen,WA_W,Bio_Solid,2050,138.8,2.338e+06,0,0,0,0
CCGT,AZ_APS_E,Gas,2050,0,0,0,0,0,0
CCGT,AZ_APS_N,Gas,2050,0,0,0,0,0,0
CCGT,AZ_APS_SW,Gas,2050,0,0,0,0,0,0
CCGT,AZ_NM_N,Gas,2050,0,0,0,0,0,0
CCGT,AZ_NW,Gas,2050,0,0,0,0,0,0
CCGT,AZ_PHX,Gas,2050,0,0,0,0,0,0
CCGT,AZ_SE,Gas,2050,0,0,0,0,0,0
CCGT,CAN_ALB,Gas,2050,0,0,0,0,0,0
CCGT,CAN_BC,Gas,2050,0,0,0,0,0,0
CCGT,CA_IID,Gas,2050,0,0,0,0,0,0
CCGT,CA_LADWP,Gas,2050,0,0,0,0,0,0
CCGT,CA_PGE_BAY,Gas,2050,0,0,0,0,0,0
CCGT,CA_PGE_CEN,Gas,2050,0,0,0,0,0,0
CCGT,CA_PGE_N,Gas,2050,0,0,0,0,0,0
CCGT,CA_PGE_S,Gas,2050,0,0,0,0,0,0
CCGT,CA_SCE_CEN,Gas,2050,0,0,0,0,0,0
CCGT,CA_SCE_S,Gas,2050,0,0,0,0,0,0
CCGT,CA_SCE_SE,Gas,2050,0,0,0,0,0,0
CCGT,CA_SCE_VLY,Gas,2050,0,0,0,0,0,0
CCGT,CA_SDGE,Gas,2050,0,0,0,0,0,0
CCGT,CA_SMUD,Gas,2050,0,0,0,0,0,0
CCGT,CO_DEN,Gas,2050,0,0,0,0,0,0
CCGT,CO_E,Gas,2050,0,0,0,0,0,0
CCGT,CO_NW,Gas,2050,0,0,0,0,0,0
CCGT,CO_SW,Gas,2050,0,0,0,0,0,0
CCGT,ID_E,Gas,2050,0,0,0,0,0,0
CCGT,ID_S_OR_E,Gas,2050,0,0,0,0,0,0
CCGT,MEX_BAJA,Gas,2050,0,0,0,0,0,0
CCGT,MT_NE,Gas,2050,0,0,0,0,0,0
CCGT,MT_NW,Gas,2050,0,0,0,0,0,0
CCGT,MT_SE,Gas,2050,0,0,0,0,0,0
CCGT,MT_SW,Gas,2050,0,0,0,0,0,0
CCGT,NM_N,Gas,2050,0,0,0,0,0,0
CCGT,NM_S_TX_EPE,Gas,2050,0,0,0,0,0,0
CCGT,NV_N,Gas,2050,0,0,0,0,0,0
CCGT,NV_S,Gas,2050,0,0,0,0,0,0
CCGT,OR_E,Gas,2050,0,0,0,0,0,0
CCGT,OR_PDX,Gas,2050,0,0,0,0,0,0
CCGT,OR_W,Gas,2050,0,0,0,0,0,0
CCGT,OR_WA_BPA,Gas,2050,0,0,0,0,0,0
CCGT,UT_N,Gas,2050,0,0,0,0,0,0
CCGT,UT_S,Gas,2050,0,0,0,0,0,0
CCGT,WA_ID_AVA,Gas,2050,0,0,0,0,0,0
CCGT,WA_N_CEN,Gas,2050,0,0,0,0,0,0
CCGT,WA_SEATAC,Gas,2050,0,0,0,0,0,0
CCGT,WA_W,Gas,2050,0,0,0,0,0,0
CCGT,WY_NE,Gas,2050,0,0,0,0,0,0
CCGT,WY_NW,Gas,2050,0,0,0,0,0,0
CCGT,WY_SE,Gas,2050,0,0,0,0,0,0
CCGT,WY_SW,Gas,2050,0,0,0,0,0,0
CCGT_Cogen,AZ_APS_SW,Gas,2050,0,0,0,0,0,0
