GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
154474,2050,Hydro_NonPumped,CA_SCE_CEN,Water,10.8,0,0
154478,2050,Hydro_NonPumped,CA_SCE_CEN,Water,13.1,0,0
154480,2050,Hydro_NonPumped,CA_SCE_CEN,Water,3.2,0,0
154481,2050,Hydro_NonPumped,CA_SCE_CEN,Water,3.1,0,0
154482,2050,Hydro_NonPumped,CA_SCE_VLY,Water,2.6,0,0
154483,2050,Nuclear,OR_WA_BPA,Uranium,1200,0,0
154484,2050,Hydro_NonPumped,CA_PGE_CEN,Water,23.6,0,0
154489,2050,Hydro_NonPumped,CA_PGE_CEN,Water,156.8,0,0
154490,2050,Hydro_NonPumped,CA_PGE_CEN,Water,100,0,0
154491,2050,Hydro_NonPumped,CA_PGE_CEN,Water,115.5,0,0
154492,2050,Hydro_NonPumped,CA_IID,Water,10,0,0
154493,2050,Hydro_NonPumped,CA_IID,Water,9.2,0,0
154494,2050,Hydro_NonPumped,CA_IID,Water,19.6,0,0
154495,2050,Hydro_NonPumped,CA_IID,Water,33,0,0
154497,2050,CCGT,CA_IID,Gas,152.3,0,0
154499,2050,Hydro_NonPumped,CA_SCE_CEN,Water,3.2,0,0
154500,2050,Hydro_NonPumped,CA_SCE_CEN,Water,56,0,0
154501,2050,Hydro_Pumped,CA_SCE_CEN,Water,1626,0,0
154502,2050,Hydro_NonPumped,CA_SCE_CEN,Water,37.5,0,0
154503,2050,Hydro_NonPumped,CA_SCE_CEN,Water,1.6,0,0
154504,2050,Hydro_NonPumped,CA_LADWP,Water,10.1,0,0
154505,2050,Hydro_NonPumped,CA_LADWP,Water,2,0,0
154506,2050,Hydro_NonPumped,CA_SCE_CEN,Water,5.6,0,0
154510,2050,Gas_Combustion_Turbine,CA_SCE_S,Gas,649.2,0,0
154512,2050,Hydro_NonPumped,CA_SCE_CEN,Water,37.5,0,0
154513,2050,Hydro_NonPumped,CA_SCE_CEN,Water,3.2,0,0
154514,2050,Hydro_NonPumped,CA_LADWP,Water,5.6,0,0
154515,2050,CCGT,CA_LADWP,Gas,335.8,0,0
154516,2050,Gas_Combustion_Turbine,CA_LADWP,Gas,213.8,0,0
154519,2050,Hydro_NonPumped,CA_SCE_CEN,Water,37.5,0,0
154522,2050,Hydro_NonPumped,CA_PGE_CEN,Water,94.5,0,0
154523,2050,Hydro_NonPumped,CA_PGE_CEN,Water,9,0,0
154524,2050,Hydro_NonPumped,CA_PGE_N,Water,44,0,0
154525,2050,Hydro_NonPumped,CA_PGE_N,Water,27.3,0,0
154526,2050,Hydro_NonPumped,CA_PGE_CEN,Water,10,0,0
154527,2050,Hydro_NonPumped,CA_PGE_CEN,Water,72,0,0
154528,2050,Hydro_NonPumped,CA_PGE_CEN,Water,24.2,0,0
154529,2050,Hydro_NonPumped,CA_PGE_N,Water,41.9,0,0
154530,2050,Hydro_NonPumped,CA_PGE_N,Water,10,0,0
154531,2050,Hydro_NonPumped,CA_PGE_N,Water,67.2,0,0
154532,2050,CCGT,CA_SCE_S,Gas,87,0,0
154534,2050,Hydro_NonPumped,CA_PGE_N,Water,15.3,0,0
154535,2050,Hydro_NonPumped,CA_PGE_N,Water,122.4,0,0
154536,2050,Hydro_NonPumped,CA_PGE_N,Water,6.1,0,0
154537,2050,Hydro_NonPumped,CA_PGE_N,Water,79.2,0,0
154538,2050,Hydro_NonPumped,CA_PGE_CEN,Water,2.7,0,0
154539,2050,Hydro_NonPumped,CA_PGE_N,Water,157.8,0,0
154540,2050,Hydro_NonPumped,CA_PGE_N,Water,161.6,0,0
154541,2050,Hydro_NonPumped,CA_PGE_N,Water,74.1,0,0
154542,2050,Hydro_NonPumped,CA_PGE_N,Water,25.5,0,0
154543,2050,Hydro_NonPumped,CA_PGE_N,Water,266.5,0,0
154544,2050,Hydro_NonPumped,CA_SCE_S,Water,276.2,0,0
154545,2050,Hydro_NonPumped,CA_PGE_N,Water,351,0,0
154546,2050,Hydro_Pumped,CA_PGE_N,Water,293.1,0,0
154547,2050,Hydro_NonPumped,CA_PGE_CEN,Water,170.8,0,0
154548,2050,Hydro_NonPumped,CA_PGE_CEN,Water,4.5,0,0
154549,2050,Hydro_NonPumped,CA_SMUD,Water,198.6,0,0
154550,2050,Hydro_NonPumped,CA_PGE_N,Water,154.4,0,0
154551,2050,Hydro_NonPumped,CA_PGE_N,Water,117,0,0
154552,2050,Hydro_NonPumped,CA_SMUD,Water,13.4,0,0
154553,2050,Hydro_NonPumped,CA_PGE_N,Water,714,0,0
154554,2050,Hydro_Pumped,CA_PGE_CEN,Water,25.2,0,0
154555,2050,Hydro_NonPumped,CA_SCE_SE,Water,120,0,0
154556,2050,Hydro_Pumped,CA_PGE_CEN,Water,424,0,0
154557,2050,Hydro_NonPumped,CA_PGE_N,Water,180,0,0
154558,2050,Hydro_NonPumped,CA_PGE_N,Water,140,0,0
154559,2050,Hydro_NonPumped,CA_PGE_N,Water,315,0,0
154560,2050,Hydro_NonPumped,CA_PGE_N,Water,46.7,0,0
154561,2050,Hydro_NonPumped,CA_SDGE,Water,1.4,0,0
154565,2050,Hydro_NonPumped,CO_DEN,Water,5,0,0
154566,2050,Hydro_Pumped,CO_NW,Water,300,0,0
154567,2050,CCGT,CO_DEN,Gas,625.6,0,0
154569,2050,Coal_Steam_Turbine,CO_E,Coal,856.8,0,0
154570,2050,Coal_Steam_Turbine,CO_E,Coal,856.8,0,0
154573,2050,Hydro_NonPumped,CO_NW,Water,1.2,0,0
154574,2050,Hydro_NonPumped,CO_NW,Water,1.5,0,0
154576,2050,Hydro_NonPumped,CO_NW,Water,14.4,0,0
154578,2050,Hydro_NonPumped,CA_SCE_S,Water,2.9,0,0
154579,2050,Hydro_NonPumped,CA_SCE_S,Water,2.9,0,0
154580,2050,Hydro_NonPumped,CA_SCE_S,Water,7.9,0,0
154581,2050,Hydro_NonPumped,CA_SCE_S,Water,1.9,0,0
154582,2050,Hydro_NonPumped,CA_SCE_S,Water,3.1,0,0
154583,2050,Hydro_NonPumped,CA_SDGE,Water,5.9,0,0
154584,2050,Hydro_NonPumped,CA_SCE_S,Water,4.1,0,0
