STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
5011_1,354176,1378
5011_1,354180,1378.9
5011_1,354184,1519.5
5011_1,354188,1600.8
5011_1,354192,1728.7
5011_1,354196,1568.5
5011_1,354200,1475.1
5011_1,354204,1496.5
5011_1,354208,1734.7
5011_1,354212,1890.5
5011_1,354216,2028.6
5011_1,354220,1668.2
5011_1,354224,1430.5
5011_1,354228,1355.5
5011_1,354232,1698.8
5011_1,354236,1960.1
5011_1,354240,2399.4
5011_1,354244,1650.9
5011_1,354248,1263.3
5011_1,354252,1087.6
5011_1,354256,1676.5
5011_1,354260,2114.9
5011_1,354264,2778.5
5011_1,354268,1600.8
5011_1,354272,911.26
5011_1,354276,433.41
5011_1,354280,1632.6
5011_1,354284,2344.3
5011_1,354288,3016.1
5011_1,354292,1702.2
5011_1,354296,947.29
5011_1,354300,524.74
5011_1,354304,1856.4
5011_1,354308,2432.9
5011_1,354312,2599.1
5011_1,354316,1481.7
5011_1,354320,655.46
5011_1,354324,127.58
5011_1,354328,1625.3
5011_1,354332,2294.9
5011_1,354336,2958.1
5011_1,354340,1552.9
5011_1,354344,690.15
5011_1,354348,171.92
5011_1,354352,1596.6
5011_1,354356,2125.7
5011_1,354360,2914.7
5011_1,354364,1490.8
5011_1,354368,787.58
5011_1,354372,216.82
5011_1,354376,1530.9
5011_1,354380,2309.4
5011_1,354384,3103.6
5011_1,354388,1869
5011_1,354392,939.51
5011_1,354396,301.74
5011_1,354400,1279.7
5011_1,354404,2117.7
5011_1,354408,2843.9
5011_1,354412,1758.8
5011_1,354416,848.49
5011_1,354420,173.21
5011_1,354424,1610.5
5011_1,354428,2751.9
5011_1,354432,2520.8
5011_1,354436,1666.6
5011_1,354440,874.04
5011_1,354444,35.535
5011_1,354448,1192.5
5011_1,354452,1855.9
5011_1,354456,2513.4
5011_1,354460,1420.6
5011_1,354464,688.11
5011_1,354468,224.68
5011_1,354472,1789.6
5011_1,354476,1957.8
5011_1,354480,2461.3
5011_1,354484,1446.7
5011_1,354488,792.85
5011_1,354492,313.07
5011_1,354496,1306.3
5011_1,354500,1816.2
5011_1,354504,2322.6
5011_1,354508,1527.4
5011_1,354512,1052.5
5011_1,354516,873.67
5011_1,354520,1705.5
5011_1,354524,2189.4
5011_1,354528,2727
5011_1,354532,1643.1
5011_1,354536,1032.1
5011_1,354540,773.14
5011_1,354544,1688
5011_1,354548,2160.3
5011_1,354552,2897.8
5011_1,354556,1609.3
5011_1,354560,825.3
5011_1,354564,333.76
5011_1,354568,1967.2
5011_1,354572,2596.2
5011_1,354576,2850.4
5011_1,354580,1330.2
5011_1,354584,450.36
5011_1,354588,226.74
5011_1,354592,1413
5011_1,354596,1877.5
5011_1,354600,2350.1
5011_1,354604,1371
5011_1,354608,768.78
5011_1,354612,490.64
5011_1,354616,1418.8
5011_1,354620,1840.6
5011_1,354624,2018.3
5011_1,354628,1381.9
5011_1,354632,1146.8
5011_1,354636,1050.5
5011_1,354640,1537.1
5011_1,354644,1804.5
5011_1,354648,2253.7
5011_1,354652,1637.7
5011_1,354656,1299.7
5011_1,354660,1103.1
5011_1,354664,1770.8
5011_1,354668,2097.1
5011_1,354672,2651.9
5011_1,354676,1608
5011_1,354680,1002.1
5011_1,354684,709.72
5011_1,354688,1804.4
5011_1,354692,2297.3
5011_1,354696,3011.7
5011_1,354700,1616.3
5011_1,354704,709.19
5011_1,354708,139.08
5011_1,354712,1709.8
5011_1,354716,2233.4
5011_1,354720,2976.7
5011_1,354724,1498.7
5011_1,354728,616.05
5011_1,354732,130.25
5011_1,354736,1424.8
5011_1,354740,2163.2
5011_1,354744,3024
5011_1,354748,1720.7
5011_1,354752,945.59
5011_1,354756,514.92
5011_1,354760,1868.1
5011_1,354764,2335.5
5011_1,354768,3088.5
5011_1,354772,1874.4
5011_1,354776,1025.2
5011_1,354780,374.17
5011_1,354784,1460.4
5011_1,354788,2282.4
5011_1,354792,3133
5011_1,354796,1711.2
5011_1,354800,726.17
5011_1,354804,602
5011_1,354808,1635.6
5011_1,354812,2435.5
