STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
5011_1,351768,534.39
5011_1,351772,43.984
5011_1,351776,44.483
5011_1,351780,47.601
5011_1,351784,60.82
5011_1,351788,332.28
5011_1,351792,371.75
5011_1,351796,44.119
5011_1,351800,43.664
5011_1,351804,46.818
5011_1,351808,510.89
5011_1,351812,539.9
5011_1,351816,501.83
5011_1,351820,336.93
5011_1,351824,359.06
5011_1,351828,341.87
5011_1,351832,511.91
5011_1,351836,496.53
5011_1,351840,525.29
5011_1,351844,347.98
5011_1,351848,366.99
5011_1,351852,351
5011_1,351856,527.91
5011_1,351860,495.79
5011_1,351864,500.16
5011_1,351868,415.15
5011_1,351872,423.32
5011_1,351876,412.37
5011_1,351880,507.85
5011_1,351884,488.59
5011_1,351888,510.11
5011_1,351892,432.93
5011_1,351896,443.71
5011_1,351900,419.41
5011_1,351904,508.02
5011_1,351908,491.54
5011_1,351912,507.13
5011_1,351916,422.07
5011_1,351920,435.82
5011_1,351924,430.88
5011_1,351928,500.92
5011_1,351932,490.73
5011_1,351936,511.3
5011_1,351940,397.37
5011_1,351944,421.26
5011_1,351948,409.16
5011_1,351952,509.76
5011_1,351956,485.06
5011_1,351960,507.03
5011_1,351964,423.45
5011_1,351968,432.28
5011_1,351972,433.73
5011_1,351976,503.12
5011_1,351980,505.46
5011_1,351984,558.09
5011_1,351988,104.44
5011_1,351992,108.66
5011_1,351996,114.1
5011_1,352000,275.89
5011_1,352004,410.99
5011_1,352008,361.47
5011_1,352012,97.296
5011_1,352016,99.792
5011_1,352020,107.67
5011_1,352024,549.33
5011_1,352028,590.25
5011_1,352032,530.94
5011_1,352036,67.093
5011_1,352040,62.765
5011_1,352044,70.179
5011_1,352048,310.26
5011_1,352052,301.73
5011_1,352056,180.32
5011_1,352060,62.322
5011_1,352064,63.296
5011_1,352068,70.248
5011_1,352072,398.11
5011_1,352076,418.25
5011_1,352080,659.39
5011_1,352084,186.29
5011_1,352088,201.5
5011_1,352092,191.8
5011_1,352096,554.51
5011_1,352100,510.21
5011_1,352104,521.02
5011_1,352108,354.99
5011_1,352112,379.58
5011_1,352116,367.8
5011_1,352120,507.27
5011_1,352124,510.36
5011_1,352128,502.49
5011_1,352132,390.29
5011_1,352136,409.19
5011_1,352140,403.28
5011_1,352144,528.97
5011_1,352148,486.38
5011_1,352152,477.85
5011_1,352156,443.38
5011_1,352160,456.19
5011_1,352164,445.11
5011_1,352168,493.9
5011_1,352172,499.18
5011_1,352176,564.67
5011_1,352180,17.95
5011_1,352184,18.451
5011_1,352188,18.63
5011_1,352192,53.315
5011_1,352196,323.51
5011_1,352200,257.76
5011_1,352204,17.808
5011_1,352208,17.822
5011_1,352212,18.899
5011_1,352216,362.55
5011_1,352220,348.48
5011_1,352224,347.26
5011_1,352228,99.162
5011_1,352232,102.86
5011_1,352236,104.26
5011_1,352240,572.53
5011_1,352244,534.5
5011_1,352248,562.94
5011_1,352252,201.96
5011_1,352256,225.13
5011_1,352260,227.46
5011_1,352264,355.9
5011_1,352268,443.85
5011_1,352272,372.85
5011_1,352276,202.2
5011_1,352280,212.05
5011_1,352284,198.25
5011_1,352288,491.21
5011_1,352292,559.12
5011_1,352296,478.23
5011_1,352300,14.59
5011_1,352304,14.613
5011_1,352308,15.038
5011_1,352312,298.36
