,gen_type,gen_load_zone,value
315,Wind,CAN_BC,10.675
316,Wind,CA_IID,0.0
317,Wind,CA_PGE_BAY,0.0
318,Wind,CA_PGE_CEN,0.0
319,Wind,CA_PGE_N,2.498
320,Wind,CA_PGE_S,0.0
321,Wind,CA_SCE_CEN,0.0
322,Wind,CA_SCE_S,0.0
323,Wind,CA_SDGE,0.0
324,Wind,CO_DEN,2.2626999999999997
325,Wind,CO_E,5.3433e-08
326,Wind,CO_NW,3.2944e-08
327,Wind,CO_SW,0.36984
328,Wind,ID_E,3.0
329,Wind,ID_S_OR_E,6.700800000000001e-08
330,Wind,MEX_BAJA,0.0
331,Wind,MT_NE,1.3249000000000002
332,Wind,MT_NW,0.0
333,Wind,MT_SE,0.6380399999999999
334,Wind,MT_SW,2.25
335,Wind,NM_N,3.6462
336,Wind,NM_S_TX_EPE,0.0
337,Wind,NV_N,0.0
338,Wind,NV_S,0.0
339,Wind,OR_E,2.934
340,Wind,OR_PDX,1.35
341,Wind,OR_W,9.15
342,Wind,OR_WA_BPA,7.341
343,Wind,UT_N,3.8852e-08
344,Wind,UT_S,0.0
345,Wind,WA_ID_AVA,5.8719
346,Wind,WA_N_CEN,3.246e-08
347,Wind,WA_SEATAC,0.0
348,Wind,WA_W,2.88
349,Wind,WY_NE,0.0
350,Wind,WY_NW,2.3581e-08
351,Wind,WY_SE,3.6021
352,Wind,WY_SW,1.59
